Dataset,Task,Metric,Activation,Avg_Score,Max_Score,Min_Score,Epochs_As_Best,Overall_Winner,Leader_Changes
simplelinear,Regression,R2,E,0.9899771354198456,0.9987981915473938,0.004280030727386475,209,E,40
simplelinear,Regression,R2,XER,0.9852354013919831,0.9988193511962891,0.04812586307525635,104,E,40
simplelinear,Regression,R2,R,0.9533827719688416,0.9987927079200745,-0.044635891914367676,0,E,40
simplelinear,Regression,R2,LR,0.975194211602211,0.9988017082214355,0.0066522955894470215,3,E,40
simplelinear,Regression,R2,PR,0.9852562290430069,0.9987736940383911,0.007367730140686035,7,E,40
simplelinear,Regression,R2,RR,0.9714430692195892,0.9985525608062744,-0.1007620096206665,0,E,40
simplelinear,Regression,R2,G,0.9786254317760468,0.9987913966178894,-0.016528964042663574,6,E,40
simplelinear,Regression,R2,S,0.966798610329628,0.9987843632698059,-0.016229987144470215,0,E,40
simplelinear,Regression,R2,C,0.9420635492801667,0.9986189603805542,-0.02449798583984375,0,E,40
simplelinear,Regression,R2,ELU,0.9787427282333374,0.9987881779670715,0.017162799835205078,0,E,40
simplelinear,Regression,R2,SELU,0.9833246765136718,0.9988065958023071,-0.0437546968460083,3,E,40
simplelinear,Regression,R2,T,0.9510306392908097,0.9987334609031677,0.047625064849853516,0,E,40
simplelinear,Regression,R2,HT,0.9579224030971527,0.9987813234329224,0.03726494312286377,0,E,40
simplelinear,Regression,R2,ST,0.9418046944141388,0.9987673759460449,-0.02579939365386963,0,E,40
simplelinear,Regression,R2,SS,-2.8281211853027344e-06,1.1920928955078125e-07,-0.0003752708435058594,0,E,40
simplelinear,Regression,R2,HS,0.9837404650449753,0.9987267255783081,-0.19107675552368164,10,E,40
simplelinear,Regression,R2,ReLU6,0.9716703435182571,0.9988150000572205,-0.03944540023803711,152,E,40
simplelinear,Regression,R2,Sw,0.9769483556747437,0.9987796545028687,-0.05523693561553955,5,E,40
simplelinear,Regression,R2,LgS,0.9768429040908814,0.9987847805023193,-0.021996021270751953,1,E,40
